atraso_15|MES-I|DIA-I|Hour-I|WEEKOFYEAR-I|DOW-I|OPERA|SIGLADES|TIPOVUELO|estacion-I|periodo_dia
0|4|10|6|15|1|Grupo LATAM|Antofagasta|N|otoño|mañana
0|4|11|7|15|2|Grupo LATAM|Antofagasta|N|otoño|mañana
0|4|17|6|16|1|Grupo LATAM|Antofagasta|N|otoño|mañana
0|4|18|7|16|2|Grupo LATAM|Antofagasta|N|otoño|mañana
0|4|24|6|17|1|Grupo LATAM|Antofagasta|N|otoño|mañana
1|4|25|7|17|2|Grupo LATAM|Antofagasta|N|otoño|mañana
0|4|3|13|14|1|Grupo LATAM|Antofagasta|N|otoño|tarde
1|4|4|13|14|2|Grupo LATAM|Antofagasta|N|otoño|tarde
1|4|5|6|14|3|Grupo LATAM|Antofagasta|N|otoño|mañana
0|4|6|10|14|4|Grupo LATAM|Antofagasta|N|otoño|mañana
0|4|7|6|14|5|Grupo LATAM|Antofagasta|N|otoño|mañana
0|4|8|10|14|6|Grupo LATAM|Antofagasta|N|otoño|mañana
0|4|10|13|15|1|Grupo LATAM|Antofagasta|N|otoño|tarde
0|4|11|14|15|2|Grupo LATAM|Antofagasta|N|otoño|tarde
0|4|12|6|15|3|Grupo LATAM|Antofagasta|N|otoño|mañana
0|4|13|10|15|4|Grupo LATAM|Antofagasta|N|otoño|mañana
0|4|14|6|15|5|Grupo LATAM|Antofagasta|N|otoño|mañana
1|4|17|14|16|1|Grupo LATAM|Antofagasta|N|otoño|tarde
0|4|18|14|16|2|Grupo LATAM|Antofagasta|N|otoño|tarde
1|4|19|6|16|3|Grupo LATAM|Antofagasta|N|otoño|mañana
1|4|20|10|16|4|Grupo LATAM|Antofagasta|N|otoño|mañana
0|4|24|13|17|1|Grupo LATAM|Antofagasta|N|otoño|tarde
0|4|25|14|17|2|Grupo LATAM|Antofagasta|N|otoño|tarde
0|4|26|6|17|3|Grupo LATAM|Antofagasta|N|otoño|mañana
0|4|27|10|17|4|Grupo LATAM|Antofagasta|N|otoño|mañana
1|4|28|6|17|5|Grupo LATAM|Antofagasta|N|otoño|mañana
0|4|29|10|17|6|Grupo LATAM|Antofagasta|N|otoño|mañana
1|4|1|9|13|6|Grupo LATAM|Antofagasta|N|otoño|mañana
0|4|2|8|13|7|Grupo LATAM|Antofagasta|N|otoño|mañana
0|4|3|8|14|1|Grupo LATAM|Antofagasta|N|otoño|mañana
1|4|4|8|14|2|Grupo LATAM|Antofagasta|N|otoño|mañana
0|4|5|8|14|3|Grupo LATAM|Antofagasta|N|otoño|mañana
1|4|6|8|14|4|Grupo LATAM|Antofagasta|N|otoño|mañana
0|4|7|8|14|5|Grupo LATAM|Antofagasta|N|otoño|mañana
0|4|8|8|14|6|Grupo LATAM|Antofagasta|N|otoño|mañana
0|4|9|8|14|7|Grupo LATAM|Antofagasta|N|otoño|mañana
0|4|10|8|15|1|Grupo LATAM|Antofagasta|N|otoño|mañana
1|4|11|8|15|2|Grupo LATAM|Antofagasta|N|otoño|mañana
0|4|12|8|15|3|Grupo LATAM|Antofagasta|N|otoño|mañana
1|4|13|8|15|4|Grupo LATAM|Antofagasta|N|otoño|mañana
0|4|14|8|15|5|Grupo LATAM|Antofagasta|N|otoño|mañana
0|4|15|8|15|6|Grupo LATAM|Antofagasta|N|otoño|mañana
0|4|16|8|15|7|Grupo LATAM|Antofagasta|N|otoño|mañana
1|4|17|8|16|1|Grupo LATAM|Antofagasta|N|otoño|mañana
0|4|18|8|16|2|Grupo LATAM|Antofagasta|N|otoño|mañana
0|4|19|8|16|3|Grupo LATAM|Antofagasta|N|otoño|mañana
0|4|20|8|16|4|Grupo LATAM|Antofagasta|N|otoño|mañana
1|4|21|8|16|5|Grupo LATAM|Antofagasta|N|otoño|mañana
0|4|22|9|16|6|Grupo LATAM|Antofagasta|N|otoño|mañana
1|4|23|8|16|7|Grupo LATAM|Antofagasta|N|otoño|mañana
0|4|24|8|17|1|Grupo LATAM|Antofagasta|N|otoño|mañana
1|4|25|8|17|2|Grupo LATAM|Antofagasta|N|otoño|mañana
0|4|26|8|17|3|Grupo LATAM|Antofagasta|N|otoño|mañana
1|4|27|8|17|4|Grupo LATAM|Antofagasta|N|otoño|mañana
0|4|28|8|17|5|Grupo LATAM|Antofagasta|N|otoño|mañana
1|4|29|8|17|6|Grupo LATAM|Antofagasta|N|otoño|mañana
0|4|30|8|17|7|Grupo LATAM|Antofagasta|N|otoño|mañana
0|4|3|6|14|1|Grupo LATAM|Antofagasta|N|otoño|mañana
0|4|4|5|14|2|Grupo LATAM|Antofagasta|N|otoño|mañana
0|4|10|6|15|1|Grupo LATAM|Antofagasta|N|otoño|mañana
1|4|11|5|15|2|Grupo LATAM|Antofagasta|N|otoño|mañana
0|4|17|6|16|1|Grupo LATAM|Antofagasta|N|otoño|mañana
0|4|18|5|16|2|Grupo LATAM|Antofagasta|N|otoño|mañana
1|4|24|6|17|1|Grupo LATAM|Antofagasta|N|otoño|mañana
1|4|25|5|17|2|Grupo LATAM|Antofagasta|N|otoño|mañana
1|4|3|15|14|1|Grupo LATAM|Antofagasta|N|otoño|tarde
1|4|9|14|14|7|Grupo LATAM|Antofagasta|N|otoño|tarde
0|4|10|15|15|1|Grupo LATAM|Antofagasta|N|otoño|tarde
0|4|16|14|15|7|Grupo LATAM|Antofagasta|N|otoño|tarde
1|4|17|15|16|1|Grupo LATAM|Antofagasta|N|otoño|tarde
0|4|23|14|16|7|Grupo LATAM|Antofagasta|N|otoño|tarde
0|4|24|15|17|1|Grupo LATAM|Antofagasta|N|otoño|tarde
0|4|30|13|17|7|Grupo LATAM|Antofagasta|N|otoño|tarde
1|4|6|11|14|4|Grupo LATAM|Antofagasta|N|otoño|mañana
1|4|7|14|14|5|Grupo LATAM|Antofagasta|N|otoño|tarde
1|4|13|11|15|4|Grupo LATAM|Antofagasta|N|otoño|mañana
0|4|21|14|16|5|Grupo LATAM|Antofagasta|N|otoño|tarde
1|4|27|11|17|4|Grupo LATAM|Antofagasta|N|otoño|mañana
1|4|28|14|17|5|Grupo LATAM|Antofagasta|N|otoño|tarde
0|4|2|14|13|7|Grupo LATAM|Antofagasta|N|otoño|tarde
0|4|3|7|14|1|Grupo LATAM|Antofagasta|N|otoño|mañana
1|4|5|15|14|3|Grupo LATAM|Antofagasta|N|otoño|tarde
0|4|6|14|14|4|Grupo LATAM|Antofagasta|N|otoño|tarde
1|4|7|10|14|5|Grupo LATAM|Antofagasta|N|otoño|mañana
1|4|9|14|14|7|Grupo LATAM|Antofagasta|N|otoño|tarde
0|4|10|7|15|1|Grupo LATAM|Antofagasta|N|otoño|mañana
1|4|12|15|15|3|Grupo LATAM|Antofagasta|N|otoño|tarde
0|4|13|14|15|4|Grupo LATAM|Antofagasta|N|otoño|tarde
0|4|14|10|15|5|Grupo LATAM|Antofagasta|N|otoño|mañana
0|4|16|14|15|7|Grupo LATAM|Antofagasta|N|otoño|tarde
1|4|17|7|16|1|Grupo LATAM|Antofagasta|N|otoño|mañana
0|4|19|15|16|3|Grupo LATAM|Antofagasta|N|otoño|tarde
1|4|20|14|16|4|Grupo LATAM|Antofagasta|N|otoño|tarde
0|4|21|10|16|5|Grupo LATAM|Antofagasta|N|otoño|mañana
0|4|23|14|16|7|Grupo LATAM|Antofagasta|N|otoño|tarde
0|4|24|7|17|1|Grupo LATAM|Antofagasta|N|otoño|mañana
1|4|26|15|17|3|Grupo LATAM|Antofagasta|N|otoño|tarde
1|4|27|14|17|4|Grupo LATAM|Antofagasta|N|otoño|tarde
0|4|28|10|17|5|Grupo LATAM|Antofagasta|N|otoño|mañana
1|4|1|15|13|6|Grupo LATAM|Antofagasta|N|otoño|tarde
0|4|3|18|14|1|Grupo LATAM|Antofagasta|N|otoño|tarde
0|4|4|16|14|2|Grupo LATAM|Antofagasta|N|otoño|tarde
1|4|5|15|14|3|Grupo LATAM|Antofagasta|N|otoño|tarde
1|4|6|12|14|4|Grupo LATAM|Antofagasta|N|otoño|tarde
1|4|7|16|14|5|Grupo LATAM|Antofagasta|N|otoño|tarde
1|4|8|18|14|6|Grupo LATAM|Antofagasta|N|otoño|tarde
0|4|11|16|15|2|Grupo LATAM|Antofagasta|N|otoño|tarde
0|4|12|15|15|3|Grupo LATAM|Antofagasta|N|otoño|tarde
0|4|13|12|15|4|Grupo LATAM|Antofagasta|N|otoño|tarde
0|4|17|18|16|1|Grupo LATAM|Antofagasta|N|otoño|tarde
0|4|19|15|16|3|Grupo LATAM|Antofagasta|N|otoño|tarde
0|4|20|12|16|4|Grupo LATAM|Antofagasta|N|otoño|tarde
0|4|21|16|16|5|Grupo LATAM|Antofagasta|N|otoño|tarde
0|4|25|16|17|2|Grupo LATAM|Antofagasta|N|otoño|tarde
1|4|26|15|17|3|Grupo LATAM|Antofagasta|N|otoño|tarde
1|4|27|12|17|4|Grupo LATAM|Antofagasta|N|otoño|tarde
1|4|28|16|17|5|Grupo LATAM|Antofagasta|N|otoño|tarde
0|4|29|18|17|6|Grupo LATAM|Antofagasta|N|otoño|tarde
1|4|1|17|13|6|Grupo LATAM|Antofagasta|N|otoño|tarde
0|4|2|17|13|7|Grupo LATAM|Antofagasta|N|otoño|tarde
1|4|3|17|14|1|Grupo LATAM|Antofagasta|N|otoño|tarde
0|4|4|17|14|2|Grupo LATAM|Antofagasta|N|otoño|tarde
1|4|5|17|14|3|Grupo LATAM|Antofagasta|N|otoño|tarde
0|4|6|17|14|4|Grupo LATAM|Antofagasta|N|otoño|tarde
0|4|7|17|14|5|Grupo LATAM|Antofagasta|N|otoño|tarde
0|4|8|17|14|6|Grupo LATAM|Antofagasta|N|otoño|tarde
1|4|9|17|14|7|Grupo LATAM|Antofagasta|N|otoño|tarde
0|4|10|17|15|1|Grupo LATAM|Antofagasta|N|otoño|tarde
1|4|11|17|15|2|Grupo LATAM|Antofagasta|N|otoño|tarde
1|4|12|17|15|3|Grupo LATAM|Antofagasta|N|otoño|tarde
0|4|13|17|15|4|Grupo LATAM|Antofagasta|N|otoño|tarde
0|4|14|17|15|5|Grupo LATAM|Antofagasta|N|otoño|tarde
1|4|15|17|15|6|Grupo LATAM|Antofagasta|N|otoño|tarde
0|4|16|17|15|7|Grupo LATAM|Antofagasta|N|otoño|tarde
0|4|17|17|16|1|Grupo LATAM|Antofagasta|N|otoño|tarde
1|4|18|17|16|2|Grupo LATAM|Antofagasta|N|otoño|tarde
1|4|19|17|16|3|Grupo LATAM|Antofagasta|N|otoño|tarde
1|4|20|17|16|4|Grupo LATAM|Antofagasta|N|otoño|tarde
1|4|21|17|16|5|Grupo LATAM|Antofagasta|N|otoño|tarde
1|4|22|17|16|6|Grupo LATAM|Antofagasta|N|otoño|tarde
1|4|23|17|16|7|Grupo LATAM|Antofagasta|N|otoño|tarde
0|4|24|17|17|1|Grupo LATAM|Antofagasta|N|otoño|tarde
0|4|25|17|17|2|Grupo LATAM|Antofagasta|N|otoño|tarde
0|4|26|17|17|3|Grupo LATAM|Antofagasta|N|otoño|tarde
0|4|28|17|17|5|Grupo LATAM|Antofagasta|N|otoño|tarde
0|4|29|17|17|6|Grupo LATAM|Antofagasta|N|otoño|tarde
1|4|30|17|17|7|Grupo LATAM|Antofagasta|N|otoño|tarde
0|4|3|4|14|1|Grupo LATAM|Calama|N|otoño|noche
1|4|4|4|14|2|Grupo LATAM|Calama|N|otoño|noche
1|4|5|4|14|3|Grupo LATAM|Calama|N|otoño|noche
0|4|10|4|15|1|Grupo LATAM|Calama|N|otoño|noche
0|4|11|4|15|2|Grupo LATAM|Calama|N|otoño|noche
0|4|12|4|15|3|Grupo LATAM|Calama|N|otoño|noche
0|4|17|4|16|1|Grupo LATAM|Calama|N|otoño|noche
0|4|18|4|16|2|Grupo LATAM|Calama|N|otoño|noche
0|4|19|4|16|3|Grupo LATAM|Calama|N|otoño|noche
0|4|24|4|17|1|Grupo LATAM|Calama|N|otoño|noche
0|4|25|4|17|2|Grupo LATAM|Calama|N|otoño|noche
0|4|26|4|17|3|Grupo LATAM|Calama|N|otoño|noche
0|4|3|5|14|1|Grupo LATAM|Calama|N|otoño|mañana
1|4|4|6|14|2|Grupo LATAM|Calama|N|otoño|mañana
1|4|5|5|14|3|Grupo LATAM|Calama|N|otoño|mañana
0|4|10|5|15|1|Grupo LATAM|Calama|N|otoño|mañana
0|4|11|6|15|2|Grupo LATAM|Calama|N|otoño|mañana
0|4|12|5|15|3|Grupo LATAM|Calama|N|otoño|mañana
1|4|17|5|16|1|Grupo LATAM|Calama|N|otoño|mañana
0|4|18|6|16|2|Grupo LATAM|Calama|N|otoño|mañana
1|4|19|5|16|3|Grupo LATAM|Calama|N|otoño|mañana
1|4|24|5|17|1|Grupo LATAM|Calama|N|otoño|mañana
1|4|25|6|17|2|Grupo LATAM|Calama|N|otoño|mañana
1|4|26|5|17|3|Grupo LATAM|Calama|N|otoño|mañana
0|4|1|6|13|6|Grupo LATAM|Calama|N|otoño|mañana
0|4|3|6|14|1|Grupo LATAM|Calama|N|otoño|mañana
0|4|10|6|15|1|Grupo LATAM|Calama|N|otoño|mañana
0|4|17|6|16|1|Grupo LATAM|Calama|N|otoño|mañana
1|4|24|6|17|1|Grupo LATAM|Calama|N|otoño|mañana
0|4|2|7|13|7|Grupo LATAM|Calama|N|otoño|mañana
0|4|23|14|16|7|Grupo LATAM|Calama|N|otoño|tarde
0|4|1|16|13|6|Grupo LATAM|Calama|N|otoño|tarde
1|4|2|17|13|7|Grupo LATAM|Calama|N|otoño|tarde
0|4|3|12|14|1|Grupo LATAM|Calama|N|otoño|tarde
1|4|4|12|14|2|Grupo LATAM|Calama|N|otoño|tarde
0|4|10|12|15|1|Grupo LATAM|Calama|N|otoño|tarde
0|4|11|12|15|2|Grupo LATAM|Calama|N|otoño|tarde
1|4|17|12|16|1|Grupo LATAM|Calama|N|otoño|tarde
0|4|18|12|16|2|Grupo LATAM|Calama|N|otoño|tarde
1|4|24|12|17|1|Grupo LATAM|Calama|N|otoño|tarde
0|4|25|12|17|2|Grupo LATAM|Calama|N|otoño|tarde
0|4|2|17|13|7|Grupo LATAM|Calama|N|otoño|tarde
0|4|5|8|14|3|Grupo LATAM|Calama|N|otoño|mañana
0|4|6|8|14|4|Grupo LATAM|Calama|N|otoño|mañana
1|4|7|8|14|5|Grupo LATAM|Calama|N|otoño|mañana
1|4|8|9|14|6|Grupo LATAM|Calama|N|otoño|mañana
0|4|9|9|14|7|Grupo LATAM|Calama|N|otoño|mañana
0|4|12|8|15|3|Grupo LATAM|Calama|N|otoño|mañana
1|4|13|8|15|4|Grupo LATAM|Calama|N|otoño|mañana
1|4|14|9|15|5|Grupo LATAM|Calama|N|otoño|mañana
0|4|15|9|15|6|Grupo LATAM|Calama|N|otoño|mañana
0|4|16|9|15|7|Grupo LATAM|Calama|N|otoño|mañana
0|4|19|8|16|3|Grupo LATAM|Calama|N|otoño|mañana
0|4|20|8|16|4|Grupo LATAM|Calama|N|otoño|mañana
1|4|21|8|16|5|Grupo LATAM|Calama|N|otoño|mañana
0|4|22|9|16|6|Grupo LATAM|Calama|N|otoño|mañana
0|4|23|9|16|7|Grupo LATAM|Calama|N|otoño|mañana
1|4|26|8|17|3|Grupo LATAM|Calama|N|otoño|mañana
1|4|27|8|17|4|Grupo LATAM|Calama|N|otoño|mañana
1|4|28|8|17|5|Grupo LATAM|Calama|N|otoño|mañana
0|4|29|9|17|6|Grupo LATAM|Calama|N|otoño|mañana
1|4|30|9|17|7|Grupo LATAM|Calama|N|otoño|mañana
1|4|3|8|14|1|Grupo LATAM|Calama|N|otoño|mañana
1|4|4|10|14|2|Grupo LATAM|Calama|N|otoño|mañana
1|4|10|8|15|1|Grupo LATAM|Calama|N|otoño|mañana
0|4|11|10|15|2|Grupo LATAM|Calama|N|otoño|mañana
1|4|17|8|16|1|Grupo LATAM|Calama|N|otoño|mañana
0|4|18|10|16|2|Grupo LATAM|Calama|N|otoño|mañana
0|4|24|8|17|1|Grupo LATAM|Calama|N|otoño|mañana
0|4|25|10|17|2|Grupo LATAM|Calama|N|otoño|mañana
0|4|6|14|14|4|Grupo LATAM|La Serena|N|otoño|tarde
0|4|7|15|14|5|Grupo LATAM|La Serena|N|otoño|tarde
0|4|13|14|15|4|Grupo LATAM|La Serena|N|otoño|tarde
0|4|14|15|15|5|Grupo LATAM|La Serena|N|otoño|tarde
0|4|20|14|16|4|Grupo LATAM|La Serena|N|otoño|tarde
0|4|21|15|16|5|Grupo LATAM|La Serena|N|otoño|tarde
0|4|27|14|17|4|Grupo LATAM|La Serena|N|otoño|tarde
0|4|28|15|17|5|Grupo LATAM|La Serena|N|otoño|tarde
0|4|5|13|14|3|Grupo LATAM|Calama|N|otoño|tarde
0|4|6|13|14|4|Grupo LATAM|Calama|N|otoño|tarde
1|4|7|11|14|5|Grupo LATAM|Calama|N|otoño|mañana
0|4|9|15|14|7|Grupo LATAM|Calama|N|otoño|tarde
0|4|12|13|15|3|Grupo LATAM|Calama|N|otoño|tarde
0|4|13|13|15|4|Grupo LATAM|Calama|N|otoño|tarde
1|4|14|14|15|5|Grupo LATAM|Calama|N|otoño|tarde
0|4|16|15|15|7|Grupo LATAM|Calama|N|otoño|tarde
1|4|19|13|16|3|Grupo LATAM|Calama|N|otoño|tarde
1|4|20|13|16|4|Grupo LATAM|Calama|N|otoño|tarde
0|4|21|14|16|5|Grupo LATAM|Calama|N|otoño|tarde
0|4|23|15|16|7|Grupo LATAM|Calama|N|otoño|tarde
1|4|26|13|17|3|Grupo LATAM|Calama|N|otoño|tarde
0|4|27|13|17|4|Grupo LATAM|Calama|N|otoño|tarde
0|4|28|14|17|5|Grupo LATAM|Calama|N|otoño|tarde
1|4|2|19|13|7|Grupo LATAM|Calama|N|otoño|noche
0|4|3|17|14|1|Grupo LATAM|Calama|N|otoño|tarde
0|4|5|16|14|3|Grupo LATAM|Calama|N|otoño|tarde
0|4|6|14|14|4|Grupo LATAM|Calama|N|otoño|tarde
0|4|10|17|15|1|Grupo LATAM|Calama|N|otoño|tarde
0|4|12|16|15|3|Grupo LATAM|Calama|N|otoño|tarde
0|4|13|15|15|4|Grupo LATAM|Calama|N|otoño|tarde
0|4|17|17|16|1|Grupo LATAM|Calama|N|otoño|tarde
0|4|18|17|16|2|Grupo LATAM|Calama|N|otoño|tarde
0|4|19|16|16|3|Grupo LATAM|Calama|N|otoño|tarde
0|4|24|17|17|1|Grupo LATAM|Calama|N|otoño|tarde
0|4|26|16|17|3|Grupo LATAM|Calama|N|otoño|tarde
0|4|27|14|17|4|Grupo LATAM|Calama|N|otoño|tarde
1|4|3|19|14|1|Grupo LATAM|Calama|N|otoño|noche
1|4|4|17|14|2|Grupo LATAM|Calama|N|otoño|tarde
1|4|5|19|14|3|Grupo LATAM|Calama|N|otoño|noche
0|4|6|16|14|4|Grupo LATAM|Calama|N|otoño|tarde
0|4|7|19|14|5|Grupo LATAM|Calama|N|otoño|noche
0|4|8|19|14|6|Grupo LATAM|Calama|N|otoño|noche
0|4|9|19|14|7|Grupo LATAM|Calama|N|otoño|noche
0|4|10|19|15|1|Grupo LATAM|Calama|N|otoño|noche
1|4|11|17|15|2|Grupo LATAM|Calama|N|otoño|tarde
0|4|12|20|15|3|Grupo LATAM|Calama|N|otoño|noche
0|4|13|16|15|4|Grupo LATAM|Calama|N|otoño|tarde
1|4|14|19|15|5|Grupo LATAM|Calama|N|otoño|noche
0|4|16|19|15|7|Grupo LATAM|Calama|N|otoño|noche
0|4|18|17|16|2|Grupo LATAM|Calama|N|otoño|tarde
1|4|19|19|16|3|Grupo LATAM|Calama|N|otoño|noche
1|4|20|17|16|4|Grupo LATAM|Calama|N|otoño|tarde
0|4|21|19|16|5|Grupo LATAM|Calama|N|otoño|noche
0|4|22|18|16|6|Grupo LATAM|Calama|N|otoño|tarde
0|4|23|18|16|7|Grupo LATAM|Calama|N|otoño|tarde
1|4|24|19|17|1|Grupo LATAM|Calama|N|otoño|noche
0|4|25|17|17|2|Grupo LATAM|Calama|N|otoño|tarde
0|4|26|20|17|3|Grupo LATAM|Calama|N|otoño|noche
1|4|27|16|17|4|Grupo LATAM|Calama|N|otoño|tarde
0|4|28|19|17|5|Grupo LATAM|Calama|N|otoño|noche
0|4|3|5|14|1|Grupo LATAM|Iquique|N|otoño|mañana
0|4|10|5|15|1|Grupo LATAM|Iquique|N|otoño|mañana
0|4|15|6|15|6|Grupo LATAM|Iquique|N|otoño|mañana
0|4|17|5|16|1|Grupo LATAM|Iquique|N|otoño|mañana
0|4|22|6|16|6|Grupo LATAM|Iquique|N|otoño|mañana
0|4|24|5|17|1|Grupo LATAM|Iquique|N|otoño|mañana
1|4|29|6|17|6|Grupo LATAM|Iquique|N|otoño|mañana
0|4|1|7|13|6|Grupo LATAM|Iquique|N|otoño|mañana
0|4|2|7|13|7|Grupo LATAM|Iquique|N|otoño|mañana
0|4|3|6|14|1|Grupo LATAM|Iquique|N|otoño|mañana
1|4|4|6|14|2|Grupo LATAM|Iquique|N|otoño|mañana
0|4|5|6|14|3|Grupo LATAM|Iquique|N|otoño|mañana
0|4|6|6|14|4|Grupo LATAM|Iquique|N|otoño|mañana
0|4|7|7|14|5|Grupo LATAM|Iquique|N|otoño|mañana
0|4|8|6|14|6|Grupo LATAM|Iquique|N|otoño|mañana
0|4|9|8|14|7|Grupo LATAM|Iquique|N|otoño|mañana
1|4|10|6|15|1|Grupo LATAM|Iquique|N|otoño|mañana
0|4|11|6|15|2|Grupo LATAM|Iquique|N|otoño|mañana
0|4|12|6|15|3|Grupo LATAM|Iquique|N|otoño|mañana
0|4|13|6|15|4|Grupo LATAM|Iquique|N|otoño|mañana
0|4|14|6|15|5|Grupo LATAM|Iquique|N|otoño|mañana
0|4|16|8|15|7|Grupo LATAM|Iquique|N|otoño|mañana
0|4|17|6|16|1|Grupo LATAM|Iquique|N|otoño|mañana
0|4|18|6|16|2|Grupo LATAM|Iquique|N|otoño|mañana
0|4|19|6|16|3|Grupo LATAM|Iquique|N|otoño|mañana
0|4|20|6|16|4|Grupo LATAM|Iquique|N|otoño|mañana
0|4|21|6|16|5|Grupo LATAM|Iquique|N|otoño|mañana
0|4|23|9|16|7|Grupo LATAM|Iquique|N|otoño|mañana
0|4|24|6|17|1|Grupo LATAM|Iquique|N|otoño|mañana
1|4|25|6|17|2|Grupo LATAM|Iquique|N|otoño|mañana
0|4|26|6|17|3|Grupo LATAM|Iquique|N|otoño|mañana
0|4|27|6|17|4|Grupo LATAM|Iquique|N|otoño|mañana
1|4|28|6|17|5|Grupo LATAM|Iquique|N|otoño|mañana
0|4|1|10|13|6|Grupo LATAM|Iquique|N|otoño|mañana
1|4|4|7|14|2|Grupo LATAM|Iquique|N|otoño|mañana
1|4|5|9|14|3|Grupo LATAM|Iquique|N|otoño|mañana
0|4|6|9|14|4|Grupo LATAM|Iquique|N|otoño|mañana
0|4|8|10|14|6|Grupo LATAM|Iquique|N|otoño|mañana
0|4|9|9|14|7|Grupo LATAM|Iquique|N|otoño|mañana
1|4|11|7|15|2|Grupo LATAM|Iquique|N|otoño|mañana
0|4|12|9|15|3|Grupo LATAM|Iquique|N|otoño|mañana
0|4|13|9|15|4|Grupo LATAM|Iquique|N|otoño|mañana
0|4|16|9|15|7|Grupo LATAM|Iquique|N|otoño|mañana
0|4|18|7|16|2|Grupo LATAM|Iquique|N|otoño|mañana
0|4|19|9|16|3|Grupo LATAM|Iquique|N|otoño|mañana
0|4|20|9|16|4|Grupo LATAM|Iquique|N|otoño|mañana
0|4|22|10|16|6|Grupo LATAM|Iquique|N|otoño|mañana
1|4|23|10|16|7|Grupo LATAM|Iquique|N|otoño|mañana
0|4|25|7|17|2|Grupo LATAM|Iquique|N|otoño|mañana
0|4|26|9|17|3|Grupo LATAM|Iquique|N|otoño|mañana
0|4|27|9|17|4|Grupo LATAM|Iquique|N|otoño|mañana
0|4|29|10|17|6|Grupo LATAM|Iquique|N|otoño|mañana
1|4|30|13|17|7|Grupo LATAM|Iquique|N|otoño|tarde
0|4|2|11|13|7|Grupo LATAM|Iquique|N|otoño|mañana
1|4|6|6|14|4|Grupo LATAM|Iquique|N|otoño|mañana
1|4|7|7|14|5|Grupo LATAM|Iquique|N|otoño|mañana
0|4|9|8|14|7|Grupo LATAM|Iquique|N|otoño|mañana
0|4|13|7|15|4|Grupo LATAM|Iquique|N|otoño|mañana
0|4|16|7|15|7|Grupo LATAM|Iquique|N|otoño|mañana
0|4|21|6|16|5|Grupo LATAM|Iquique|N|otoño|mañana
0|4|23|7|16|7|Grupo LATAM|Iquique|N|otoño|mañana
0|4|27|7|17|4|Grupo LATAM|Iquique|N|otoño|mañana
1|4|28|6|17|5|Grupo LATAM|Iquique|N|otoño|mañana
1|4|30|8|17|7|Grupo LATAM|Iquique|N|otoño|mañana
0|4|3|11|14|1|Grupo LATAM|Iquique|N|otoño|mañana
1|4|4|11|14|2|Grupo LATAM|Iquique|N|otoño|mañana
0|4|10|11|15|1|Grupo LATAM|Iquique|N|otoño|mañana
0|4|11|11|15|2|Grupo LATAM|Iquique|N|otoño|mañana
0|4|17|11|16|1|Grupo LATAM|Iquique|N|otoño|mañana
0|4|18|11|16|2|Grupo LATAM|Iquique|N|otoño|mañana
0|4|24|11|17|1|Grupo LATAM|Iquique|N|otoño|mañana
0|4|25|11|17|2|Grupo LATAM|Iquique|N|otoño|mañana
1|4|2|12|13|7|Grupo LATAM|Iquique|N|otoño|tarde
1|4|3|15|14|1|Grupo LATAM|Iquique|N|otoño|tarde
0|4|4|12|14|2|Grupo LATAM|Iquique|N|otoño|tarde
0|4|5|14|14|3|Grupo LATAM|Iquique|N|otoño|tarde
0|4|7|19|14|5|Grupo LATAM|Iquique|N|otoño|noche
1|4|8|14|14|6|Grupo LATAM|Iquique|N|otoño|tarde
0|4|10|15|15|1|Grupo LATAM|Iquique|N|otoño|tarde
0|4|11|13|15|2|Grupo LATAM|Iquique|N|otoño|tarde
1|4|12|14|15|3|Grupo LATAM|Iquique|N|otoño|tarde
0|4|14|19|15|5|Grupo LATAM|Iquique|N|otoño|noche
0|4|15|14|15|6|Grupo LATAM|Iquique|N|otoño|tarde
0|4|17|15|16|1|Grupo LATAM|Iquique|N|otoño|tarde
1|4|18|13|16|2|Grupo LATAM|Iquique|N|otoño|tarde
0|4|19|14|16|3|Grupo LATAM|Iquique|N|otoño|tarde
0|4|21|19|16|5|Grupo LATAM|Iquique|N|otoño|noche
1|4|22|14|16|6|Grupo LATAM|Iquique|N|otoño|tarde
0|4|24|15|17|1|Grupo LATAM|Iquique|N|otoño|tarde
0|4|25|13|17|2|Grupo LATAM|Iquique|N|otoño|tarde
0|4|26|14|17|3|Grupo LATAM|Iquique|N|otoño|tarde
0|4|28|19|17|5|Grupo LATAM|Iquique|N|otoño|noche
1|4|29|14|17|6|Grupo LATAM|Iquique|N|otoño|tarde
0|4|2|16|13|7|Grupo LATAM|Iquique|N|otoño|tarde
0|4|9|20|14|7|Grupo LATAM|Iquique|N|otoño|noche
0|4|16|20|15|7|Grupo LATAM|Iquique|N|otoño|noche
0|4|23|20|16|7|Grupo LATAM|Iquique|N|otoño|noche
0|4|30|19|17|7|Grupo LATAM|Iquique|N|otoño|noche
0|4|1|18|13|6|Grupo LATAM|Iquique|N|otoño|tarde
0|4|2|18|13|7|Grupo LATAM|Iquique|N|otoño|tarde
1|4|3|17|14|1|Grupo LATAM|Iquique|N|otoño|tarde
0|4|4|18|14|2|Grupo LATAM|Iquique|N|otoño|tarde
0|4|5|16|14|3|Grupo LATAM|Iquique|N|otoño|tarde
0|4|6|17|14|4|Grupo LATAM|Iquique|N|otoño|tarde
0|4|7|17|14|5|Grupo LATAM|Iquique|N|otoño|tarde
